TissueType,ZT,Metabolite,Abundance,RelAbundance
Blood,0,Ala-CA_17790,3297,0.5190891614749878
Blood,0,Ala-bMCA_17791,2976,1.0812539057390749
Blood,0,Asn-CA_20646,3504,57.98444481217938
Blood,0,Gln-CA_21582,15499335,87.2755710939015
Blood,0,His-CA_22165,0,0
Blood,0,Arg-CA_23368,0,NA
Blood,0,Phe-CA_22812,4414,3.089413823272091
Blood,0,Tyr-CA_23803,0,0
Blood,0,Trp-CA_25121,5821,1.6117465617826954
Blood,0,Ornithine-CA_20652,0,NA
Blood,0,Arg-DCA_22370,0,NA
Blood,0,Ser-CA_18843,2698,0.44534974315633785
Blood,0,Val-CA_19625,79364,75.10764950268296
Blood,0,Thr-CA_19755,0,0
Blood,0,Ile-Leu-CA_20580,843044,100
Blood,0,Ile-Leu-gMCA_20581,0,0
Blood,0,Lys-CA_21586,5327,50.87870105062082
Blood,0,Lys-CA_21588,0,NA
Blood,0,Lys-bMCA_21589,0,NA
Blood,0,Lys-gMCA_21590,0,NA
Blood,0,Met-CA_21765,0,0
Blood,0,Met-gMCA_21769,0,0
Blood,0,Phe-bMCA_22813,0,0
Blood,0,Arg-bMCA_23369,0,NA
Blood,0,Tyr-bMCA_23804,235206,100
Blood,0,Trp-bMCA_25122,0,0
Blood,4,Ala-CA_17790,6866,1.0810027851644728
Blood,4,Ala-bMCA_17791,5179,1.8816579226554668
Blood,4,Asn-CA_20646,3638,60.201886480225056
Blood,4,Gln-CA_21582,16776510,94.4672459310383
Blood,4,His-CA_22165,0,0
Blood,4,Arg-CA_23368,0,NA
Blood,4,Phe-CA_22812,10912,7.637445319335083
Blood,4,Tyr-CA_23803,3863,29.336269744835963
Blood,4,Trp-CA_25121,7384,2.0445175420380384
Blood,4,Ornithine-CA_20652,0,NA
Blood,4,Arg-DCA_22370,0,NA
Blood,4,Ser-CA_18843,5095,0.8410144334253306
Blood,4,Val-CA_19625,15073,14.264623770902931
Blood,4,Thr-CA_19755,0,0
Blood,4,Ile-Leu-CA_20580,606914,71.99078577156115
Blood,4,Ile-Leu-gMCA_20581,0,0
Blood,4,Lys-CA_21586,0,0
Blood,4,Lys-CA_21588,0,NA
Blood,4,Lys-bMCA_21589,0,NA
Blood,4,Lys-gMCA_21590,0,NA
Blood,4,Met-CA_21765,3534,13.166424499832347
Blood,4,Met-gMCA_21769,2765,7.231783229586232
Blood,4,Phe-bMCA_22813,0,0
Blood,4,Arg-bMCA_23369,0,NA
Blood,4,Tyr-bMCA_23804,7910,3.363009447037916
Blood,4,Trp-bMCA_25122,0,0
Blood,8,Ala-CA_17790,7078,1.1143806748316543
Blood,8,Ala-bMCA_17791,4102,1.4903573660422327
Blood,8,Asn-CA_20646,6043,100
Blood,8,Gln-CA_21582,17759076,100
Blood,8,His-CA_22165,3647,58.40807174887892
Blood,8,Arg-CA_23368,0,NA
Blood,8,Phe-CA_22812,6996,4.896587926509186
Blood,8,Tyr-CA_23803,0,0
Blood,8,Trp-CA_25121,5280,1.461951871879854
Blood,8,Ornithine-CA_20652,0,NA
Blood,8,Arg-DCA_22370,0,NA
Blood,8,Ser-CA_18843,13010,2.147516737755358
Blood,8,Val-CA_19625,51737,48.962306112599016
Blood,8,Thr-CA_19755,3608,3.581959156929125
Blood,8,Ile-Leu-CA_20580,833194,98.83161495722644
Blood,8,Ile-Leu-gMCA_20581,0,0
Blood,8,Lys-CA_21586,10470,100
Blood,8,Lys-CA_21588,0,NA
Blood,8,Lys-bMCA_21589,0,NA
Blood,8,Lys-gMCA_21590,0,NA
Blood,8,Met-CA_21765,2686,10.007078722849371
Blood,8,Met-gMCA_21769,0,0
Blood,8,Phe-bMCA_22813,0,0
Blood,8,Arg-bMCA_23369,0,NA
Blood,8,Tyr-bMCA_23804,71510,30.403135974422423
Blood,8,Trp-bMCA_25122,0,0
Blood,12,Ala-CA_17790,635151,100
Blood,12,Ala-bMCA_17791,275236,100
Blood,12,Asn-CA_20646,5736,94.91974185007447
Blood,12,Gln-CA_21582,7976621,44.915743364125476
Blood,12,His-CA_22165,6244,100
Blood,12,Arg-CA_23368,0,NA
Blood,12,Phe-CA_22812,142875,100
Blood,12,Tyr-CA_23803,13168,100
Blood,12,Trp-CA_25121,361161,100
Blood,12,Ornithine-CA_20652,0,NA
Blood,12,Arg-DCA_22370,0,NA
Blood,12,Ser-CA_18843,605816,100
Blood,12,Val-CA_19625,105667,100
Blood,12,Thr-CA_19755,100727,100
Blood,12,Ile-Leu-CA_20580,744358,88.29408666688808
Blood,12,Ile-Leu-gMCA_20581,19144,100
Blood,12,Lys-CA_21586,0,0
Blood,12,Lys-CA_21588,0,NA
Blood,12,Lys-bMCA_21589,0,NA
Blood,12,Lys-gMCA_21590,0,NA
Blood,12,Met-CA_21765,26841,100
Blood,12,Met-gMCA_21769,38234,100
Blood,12,Phe-bMCA_22813,93495,100
Blood,12,Arg-bMCA_23369,0,NA
Blood,12,Tyr-bMCA_23804,16929,7.197520471416545
Blood,12,Trp-bMCA_25122,82637,100
Blood,16,Ala-CA_17790,3321,0.5228677904939141
Blood,16,Ala-bMCA_17791,2224,0.8080338327835023
Blood,16,Asn-CA_20646,2841,47.013072976998174
Blood,16,Gln-CA_21582,16867168,94.97773420193708
Blood,16,His-CA_22165,0,0
Blood,16,Arg-CA_23368,0,NA
Blood,16,Phe-CA_22812,5236,3.664741907261592
Blood,16,Tyr-CA_23803,0,0
Blood,16,Trp-CA_25121,0,0
Blood,16,Ornithine-CA_20652,0,NA
